chrom	start	end	gene_count	gene_coverage	E1	E2	E3
chr1	0	100000	595	0.8812700000000001			
chr1	100000	200000	952	1.0			
chr1	200000	300000	159	0.09797			
chr1	300000	400000	132	0.05368			
chr1	400000	500000	471	0.24454			
chr1	500000	600000	390	0.15467999999999998			
chr1	600000	700000	229	0.05782999999999999			
chr1	700000	800000	818	0.49965			
chr1	800000	900000	268	0.43865			
chr1	900000	1000000	482	0.6560199999999999	0.8112517588943312	-0.39925245950940136	0.21939883881414007
chr1	1000000	1100000	366	0.68688	0.8552358041350365	-0.38649629483801523	0.17666707224186448
chr1	1100000	1200000	1377	0.49378999999999995	0.7043500313222419	-0.386283145855957	0.09981144716817744
chr1	1200000	1300000	439	0.79257	0.7335739247765256	-0.25714408591998267	0.025652520515505317
chr1	1300000	1400000	763	1.0	0.7082949197298564	-0.29547529555609403	-0.09921700284000426
chr1	1400000	1500000	985	1.0	0.8856687653321257	-0.4747667353665151	0.008713245242546538
chr1	1500000	1600000	877	0.83698	0.8268938668422072	-0.458290448318088	0.03878464025612866
chr1	1600000	1700000	963	0.9708	0.7572645563433404	-0.7331888797517621	0.24180674969171914
chr1	1700000	1800000	850	1.0	0.726906453660962	-0.29934791840850067	0.16661135596555005
chr1	1800000	1900000	819	0.9157700000000001	0.8803787795846666	-0.5749737240716244	0.3370815703015247
chr1	1900000	2000000	597	0.61808	0.6999919101582198	-0.5381425749636254	0.674186372336455
chr1	2000000	2100000	607	1.0	0.6463051772646271	-0.6794993561534142	0.9139182729770464
chr1	2100000	2200000	506	1.0	0.6498630087118562	-0.47033131209989737	0.8273316217348037
chr1	2200000	2300000	326	0.86246	0.6857714797392402	-0.6092392356991666	1.17415790428973
chr1	2300000	2400000	239	0.9084700000000001	0.6099369422777833	-0.3897105283017245	1.2272571259878005
chr1	2400000	2500000	216	0.95721	0.3740824420022389	-0.16322676544911377	1.2599445884201905
chr1	2500000	2600000	620	0.5635100000000001	0.17201935102478666	-0.2500213454401994	1.1067112319756793
chr1	2600000	2700000	136	0.36557	-0.45406790582451373	-0.040373320468625254	1.222191500704369
chr1	2700000	2800000	67	0.06667000000000001			
chr1	2800000	2900000	74	0.00719	-1.0821683550861787	-0.205974856455725	0.7462657046573179
chr1	2900000	3000000	72	0.7336	-1.1417016665572826	0.004617095325660585	0.584067649782592
chr1	3000000	3100000	169	1.0	-1.036738179584698	-0.0886891313095321	0.6684720657293819
chr1	3100000	3200000	66	1.0	-0.9470532209985849	0.08824820680927502	0.6340754925783311
chr1	3200000	3300000	67	1.0	-0.8216784170148601	-0.12942179922214364	0.7349025620148185
chr1	3300000	3400000	78	1.0	-0.23331615296779784	-0.08153546723004391	1.0332494276788953
chr1	3400000	3500000	131	0.78752	0.19706277903967157	-0.12832983689316613	1.0135288288126174
chr1	3500000	3600000	86	1.0	0.6961606130754663	-0.7262668065047176	1.6098531970228807
chr1	3600000	3700000	234	0.86666	0.5506779445797532	-0.3126479153924622	1.3065256681818325
chr1	3700000	3800000	473	1.0	0.4118927867138389	-0.6029390395079215	1.5777577212672422
chr1	3800000	3900000	679	1.0	0.037314514817323105	-0.41326309260724786	1.7295495515903851
chr1	3900000	4000000	245	1.0	-1.3235651685306502	-0.11908568934841865	0.9941985219117829
chr1	4000000	4100000	189	0.9764200000000001	-1.409931725476685	-0.054839935272957496	0.7546435068415713
chr1	4100000	4200000	110	0.4789	-1.4130137384847306	-0.1623346558049703	0.7333858649651693
chr1	4200000	4300000	156	0.0191	-1.277198315444715	-0.039739027771221146	0.6743052123105336
chr1	4300000	4400000	67	0.30934	-1.3520795050835646	-0.20896286648979645	0.6642639768504122
chr1	4400000	4500000	186	1.0	-1.4234955275925054	-0.11228233395211798	0.5794469366550534
chr1	4500000	4600000	180	0.43826000000000004	-1.3358156136315718	-0.15814023267814564	0.5606983350831609
chr1	4600000	4700000	136	0.46285	-1.150787436354045	-0.004622987010421682	0.7099532975302875
chr1	4700000	4800000	105	0.8962399999999999	-1.233960148459241	-0.13824638762488814	0.8424147789203411
chr1	4800000	4900000	151	0.01915	-1.3352178528321794	-0.0765519889505924	0.5941143822764414
chr1	4900000	5000000	126	0.01926	-1.3279628105245127	0.03487650726953835	0.6503531767054199
chr1	5000000	5100000	110	0.01815	-1.386416565727715	-0.04039427254747234	0.46316925131239395
chr1	5100000	5200000	80	0.01196	-1.3512980112732147	-0.18589830662113777	0.5918954381879585
chr1	5200000	5300000	151	0.01015	-1.344380323798014	0.025928360589990415	0.41195540205408104
chr1	5300000	5400000	108	0.00837	-1.409553409002778	-0.08368676637043918	0.5665102610926265
chr1	5400000	5500000	105	0.02276	-1.359739093077421	-0.10493407860581892	0.6055905694001429
chr1	5500000	5600000	182	0.38911999999999997	-1.2423867323070206	0.07921954642473723	0.6145671949996844
chr1	5600000	5700000	135	0.68693	-1.4361786377563452	-0.07559929790526591	0.5022839558381066
chr1	5700000	5800000	195	0.08744	-1.5302367126769985	-0.16551171757617567	0.7380819158815805
chr1	5800000	5900000	490	0.37940999999999997	-1.07971749434262	-0.11167912189896878	1.1308368780486022
chr1	5900000	6000000	160	1.0	-0.34216801989704365	-0.31534611927370726	1.6551005975144009
chr1	6000000	6100000	361	1.0	0.2575211607350304	-0.4035179583745876	1.6335921078352456
chr1	6100000	6200000	439	0.94995	0.4785562807820947	-0.28912833470554605	1.6732701179264715
